session_name,paper_id,title,authors,institutions,abstract,pdf_url,pdf_available,doi,page_number,received_date,accepted_date
WEP - Poster Session 2,WEP14,Design and implementation of an optical diagnostic beamline at the BESSY II injection line,,,"In order to improve and extend the current diagnostic system of the third-generation synchrotron radiation source BESSY II, a source point imaging system is being developed. This paper presents the conceptual design, including technical requirements, simulation results, and expectations for the optical transport line and mechanical integration. The design aims to ensure beam quality during operation using synchrotron radiation emitted from the dipole magnet. The primary components of this beamline are a CCD camera and a lens system. To enable precise positioning of the achromat, the system is equipped with a motorized linear feedthrough. The entire setup is designed to operate under high vacuum conditions. A basic existing setup is employed to experimentally validate the simulation results, using the same CCD camera as in the final beamline setup.P. Ahmels, S. Wiese, T. Atkinson  Helmholtz-Zentrum Berlin für Materialien und Energie",https://meow.elettra.eu/88/pdf/WEP14.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP14,183,,
WEP - Poster Session 2,WEP15,Design and implementation of a parallel linkage mechanism with spring assembly for magnetic force compensation in insertion devices,,,"This study presents the design and fabrication of a me-chanical compensation system aimed at neutralizing the magnetic attraction forces inherent in insertion devices (IDs) used in synchrotron radiation facilities. In long IDs, such as those measuring 4 meters in length, multiple compensation modules—typically four—are required to maintain structural stability and magnetic field uniformi-ty. In this work, a single compensation module was de-signed, fabricated, and installed on a test platform to verify the feasibility and mechanical performance of the proposed mechanism. The system integrates a parallel linkage mechanism with a spring assembly consisting of twelve coil springs. The parallel linkage ensures synchronized and stable movement of the magnetic arrays with minimal structural deformation, while the spring assembly provides a counteracting force that balances the increasing magnetic attraction as the ID gap narrows. Although the mechanism was not installed on a working ID, test results demonstrate its effectiveness in reducing structural load and maintaining precise displacement control under simulated magnetic force conditions. This confirms the concept's viability and its potential for improving operational efficiency and safety in future ID applications.C. Kuan, C. Lin, C. Huang, D. Huang, H. Ho, K. Hsu, T. Tseng, W. Lai, Y. Liu  National Synchrotron Radiation Research Center",https://meow.elettra.eu/88/pdf/WEP15.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP15,186,,
WEP - Poster Session 2,WEP16,Mechanical design of the in-vacuum tapered undulator at Taiwan Photon Source,,,"Synchrotron light sources commonly provide users with two types of insertion devices for experiments in biology, medicine, and other fields: in-vacuum undulators (IU) with short period lengths for medium-energy photon sources and cryogenic permanent magnet undulators (CPMU) for higher photon energy. The strong magnetic field generates significant forces on the insertion device magnets, leading to structural deformation and ultimately degrading the magnetic field quality. This paper presents the design and measurement methods of an in-vacuum tapered undulator, analyzes the simulation and measurement results of its structural deformation, and introduces how a flexible structure can be used to establish nonlinear magnetic force compensation to improve system performanceW. Lai, C. Kuan, K. Hsu  National Synchrotron Radiation Research Center",https://meow.elettra.eu/88/pdf/WEP16.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP16,190,,
WEP - Poster Session 2,WEP17,Design of a damping wiggler at SPring-,,,"-II as a high-energy X-ray source193SPring-8 will be upgraded to SPring-8-II, a fourth-generation synchrotron with a multi-bend achromat lattice, by 2028. The beam energy will be reduced from 8 to 6 GeV, substantially lowering emittance. To further reduce the emittance, a damping wiggler is planned for installation in a 30 m straight section. High-energy X-ray above 100 keV are in demand for industrial use, but lowering the beam energy reduces photon flux in this range. A damping wiggler can enhance this flux. We therefore designed the wiggler not only for emittance reduction but also as a high-energy X-ray source. The wiggler will be installed in a straight section with five drift spaces, each about 4 m long, to accommodate the wiggler, masks and related components. Its parameters—unit number, period length, gap and total length—were optimized to achieve low emittance, high photon flux and reduced heat load on absorbers. To handle radiation up to 75 kW and 800 W/mm² over a wide solid angle, the mask aperture was designed to limit angular spread and reduce the heat load on the absorber at the downstream bending magnet chamber. This study presents the optimized wiggler design and power density evaluation at the mask.K. Tsubota, H. Ohashi, S. Shimizu, S. Takahashi  Japan Synchrotron Radiation Research InstituteT. Tanaka  RIKEN SPring-8 Center",https://meow.elettra.eu/88/pdf/WEP17.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP17,8,,
WEP - Poster Session 2,WEP18,Design of a mirror chamber for the FL,,,"with 5-axis precision adjustment and additional fast pneumatic movement out of the beamFor the new pulse-length-preserving monochromator beamline FL23 at FLASH2, the beam is horizontally decoupled from the straight line at FL24 by means of a non-planar mirror. The mirror is adjustable in all three rotational degrees of freedom. The bearings for yaw and pitch are mounted outside the vacuum. For the roll movement, the mirror is mounted in two bearings that have a large enough opening so that the beam can also be guided straight past the mirror. In addition, the different layers can be approached by translation along the vertical axis. All drives are outside the vacuum. The horizontal movement can be adjusted with high precision and is also pneumatically driven, allowing rapid movement out of the beam for fast operation of the FL24 beamline.H. Bienert, B. Steffen, E. Plönjes-Palm, G. Brenner, H. Bolat, M. Hesse, M. Sprung  Deutsches Elektronen-Synchrotron DESY",https://meow.elettra.eu/88/pdf/WEP18.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP18,24,,
WEP - Poster Session 2,WEP23,Development of high stability mirror systems at HALF,,,"Hefei Advanced Light Source (HALF) is a diffraction-limited light source in the soft X-ray range. It provides a powerful tool for nano-focusing, ultra-high spectral-resolution power experiments and applications. To fully utilize the source characteristics, beamline mirrors and manipulators require high accuracy and stability. In phase I, 10 beamlines will be built, requiring dozens of mirrors with different shapes, sizes, and working conditions to achieve high-fidelity transmission, collimation and focusing, which can be divided into three categories: The first mirror of each beamline, with fixed-shape that needs water cooling, due to absorb high heat load and deflect the beam; The fixed-shape mirror without water cooling for beam transmission, focusing and collimation; The bendable mirrors for KB focusing systems. In this paper, the manipulator for each kind of mirror with high stability is proposed. A universal mirror system with a three-point support structure is developed to hold different manipulators and provide fine-tuning for Height, Roll, and Yaw. Prototype design and preliminary test results are also presented.S. Jiang  University of Science and Technology of China, National Synchrotron Radiation LaboratoryJ. Chen, Q. Wang, S. Wei, X. Du, Y. Peng, Z. Wang  University of Science and Technology of China, National Synchrotron Radiation Laboratory, National Synchrotron Radiation Laboratory; University of Science and Technology of China",https://meow.elettra.eu/88/pdf/WEP23.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP23,201,,
WEP - Poster Session 2,WEP24,"Development of LN₂ cooled permanent magnet undulatorsThis work presents a novel design for a cryogenically cooled permanent magnet undulator (CPMU), advancing compact, high-field insertion devices for synchrotron light source PETRA IV at DESY. Operating at cryogenic temperatures allows significantly smaller gaps and higher fields than conventional undulators. The proposed",,,"m long device, the longest of its kind, uses high-performance PrFeB magnets in a hybrid structure. The inner and outer girder design is optimized through mechanical simulations to endure strong magnetic forces while maintaining micrometer tolerances. Forces up to 35 kN are compensated using auxiliary magnets integrated into the inner girder. Adjustable link rods form the critical mechanical connection between girders, enabling fine tuning; they are undergoing cryogenic testing at 77 K to assess performance. Fluid dynamics and thermal simulations of the liquid nitrogen (LN₂) cooling system reveal temperature distributions and gradients along the undulator, crucial for ensuring magnetic field stability and optimal operation in accelerator environments.H. Bolat, A. Schöps, M. Tischer, M. Trunk, P. Vagin  Deutsches Elektronen-Synchrotron DESY",https://meow.elettra.eu/88/pdf/WEP24.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP24,4,,
WEP - Poster Session 2,WEP25,Development of permanent magnets replacing electromagnets at NSRRC,,,"Integrating permanent magnets as substitutes for large electromagnets offers advantages such as energy savings, space efficiency, and low maintenance. An electromagnetic dipole magnet on the TPS transfer line is proposed to be replaced by a permanent magnet. This permanent magnet will be hybridized with an electrical coil to allow fine tuning of the magnetic field. Additionally, an NMR system is integrated into the magnet to monitor long-term field variations. The magnetic circuit design for the 1m-long permanent magnet has been preliminarily completed. Currently, the prototype-1 magnet with 0.15 m employs adhesive technology to bond small magnetic blocks into larger ones. The magnetic field strength and uniformity of prototype-1 meet the design specifications. NiFe material has also been used for temperature compensation. During the development process, some assembly procedures and mechanical designs were revised. The prototype-2 is currently in production. This paper presents the magnetic circuit design, the mechanism design, the magnet prototype and the field measurement result of the permanent dipole magnet.J. Jan, Y. Hsu, Y. Chu, C. Yang, T. Chung  National Synchrotron Radiation Research Center",https://meow.elettra.eu/88/pdf/WEP25.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP25,205,,
WEP - Poster Session 2,WEP26,Development of Radial Magic Finger Design for Permanent Magnet Quadrupole,,,"Permanent Magnets (PM) have been widely used in Synchrotron Light Sources for insertion devices and recently for the accelerator multipole magnets. The NSLS-II accelerator upgrade is based on the complex bend lattice that will use combined function permanent magnet-based dipole-Quadrupole (PMQ)*. These PMQ’s need to be characterized and tuned to make sure the required field harmonics can be achieved. The Halbach type design is considered for the PMQs. To achieve the required field quality with the Halbach PMQ, a field harmonic correction method based on assembly of small PM blocks called “Magic fingers” (MF) is developed. This paper presents the radial MF magnetic and mechanical design, the prototype and the correction results.T. Brookbank, F. DePaola, M. Musardo, P. N'gotta, S. Brooks, S. Sharma  Brookhaven National LaboratoryO. Chubar  National Synchrotron Light Source II",https://meow.elettra.eu/88/pdf/WEP26.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP26,209,,
WEP - Poster Session 2,WEP29,Elettra,,,".0 discrete storage ring photon absorbers216The Elettra 2.0 project is upgrading the Elettra synchrotron radiation facility to 4th generation standards. This paper presents the overall photon absorption strategy adopted in the design, which includes both distributed and localized absorption of emitted photons, focusing on discrete photon absorbers and their geometrical configurations within the storage ring. All discrete photon absorbers will be manufactured entirely from Copper-Chromium-Zirconium alloy (CW106C or CuCr1Zr). The components will be produced using wire electrical discharge machining (EDM) for the main geometries, supplemented by conventional milling, with the integration of the flange knife-edge into the absorber geometry without the need for brazing. Two main absorber families are introduced: transversal photon absorbers, designed to protect vacuum chambers near bending magnets and to serve as initial beam-shaping elements, and axial photon absorbers, which function as transitions between different chamber geometries and protect sensitive components, such as RF contact bellows. The paper also presents the current production status and includes photographs of the first manufactured units.G. Scrimali  Elettra-Sincrotrone Trieste S.C.p.A.",https://meow.elettra.eu/88/pdf/WEP29.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP29,2,,
WEP - Poster Session 2,WEP30,Enhancing the performance of old X-ray mirrors through surface figure correctionThe X-ray Optics Laboratory at the Pohang Accelerator Laboratory is advancing synchrotron radiation research by enhancing X-ray mirror performance through in-house precision metrology and coating technologies. A thin-film deposition system was developed for coating X-ray mirrors up to,,,"meter in length. By precisely controlling the substrate stage speed, the system can correct and modify the surface figure of the mirror. Differential deposition is achieved by continuously adjusting the substrate's movement during coating. The stage control system calculates the dwell time using deconvolution algorithms, based on accurate measurements of the unit coating distribution and the target surface figure. Recently, the lab successfully reduced the figure error of the 5A beamline mirror by a factor of 15, and plans are underway to extend these improvements to other beamlines, including those at PLS-II and XFEL.J. Kim, J. Kim, J. Kim, J. Park, S. Kim, H. Choi, S. Kim, J. Choi, H. Lee, J. Lim  Pohang Accelerator Laboratory",https://meow.elettra.eu/88/pdf/WEP30.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP30,1,,
WEP - Poster Session 2,WEP31,Flange aperture gap RF contact gasket for Elettra,,,".0 storage ring220The fourth-generation X-ray source Elettra 2.0, currently under development, aims to significantly enhance the brilliance and coherence of the emitted light, with high currents and ultra-low emittances as design goals. Fourth generation machines have tight constraints in terms of beam coupling impedance, requiring that the flanged connections along the beam orbit contributes as less as possible to the storage ring impedance budget, either by reducing the flange aperture gaps ideally to zero (zero-gap flanges connections), or by properly shielding the cavities generated (RF contact fingers). Space constraints of Elettra 2.0 limit the usage of conventional RF contact fingers, and the storage ring includes components where zero-gap flanges connections cannot be applied. This paper presents a compact RF contact gasket designed to work within the constraints of Elettra 2.0 chambers, inside the cavity created by the coupling of two CF40 flanges. The geometry is presented, along with its characterization with finite element modeling and RF Impedance calculations. A presentation of prototypes is also included.I. Mrak, G. Scrimali, S. Cleva  Elettra-Sincrotrone Trieste S.C.p.A.",https://meow.elettra.eu/88/pdf/WEP31.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP31,2,,
WEP - Poster Session 2,WEP32,Improving the sputtered titanium film for the NIK ceramic chamber in TPS,,,"The development of the Nonlinear In-vacuum Kicker (NIK) is one of the key projects of the Taiwan Photon Source (TPS). Efficient conduction of the image current generated by the stored beam requires the deposition of a highly conductive titanium thin film on the inner surface of the NIK ceramic chamber. Based on tests involving the sputtering of a 5.5 μm titanium film onto a 34 cm × 6 cm ceramic substrate, the uniformity of the titanium film was controlled within 5%. The adhesion strength between the titanium film and the ceramic substrate reached 60 MPa, and the electrical resistivity was measured at 7.2 × 10⁻⁵ Ω·cm. This paper presents a detailed overview of the coating system, experimental methodology, and test results.C. Huang, B. Chen, C. Lin, C. Kuan, T. Tseng, W. Lai, Y. Liu  National Synchrotron Radiation Research Center",https://meow.elettra.eu/88/pdf/WEP32.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP32,224,,
WEP - Poster Session 2,WEP36,LiDAR-based,,,"D scanning for accurate infrastructure modeling at MAX IVThis project explores the use of advanced 3D scanning technology at MAX IV, focusing on the Leica RTC360 scanner to capture high-precision scans of accelerator tunnels and restricted beamline areas. Known for its rapid scanning and accuracy (1.9mm at 10m), the RTC360 generates detailed 3D models of these complex environments. The goal is to produce accurate digital representations to aid in maintenance, structural assessments, and long-term planning. To improve scan data positioning, it can be best-fitted to a reference network of points measured with laser tracker instrumentation, ensuring precise alignment reference. This integration enables overlaying scan data with CAD models, linking the physical environment to its design representation. Using the RTC360's LiDAR technology, the project ensures efficient data capture in hard-to-reach areas, supporting enhanced analysis and decision-making. The resulting 3D models can improve workflow and provide stakeholders with valuable insights into the condition of MAX IV infrastructure, supporting current and future operational needs.A. Torrente, B. Afzali-Far, G. Felcsuti, K. Zhou  MAX IV Laboratory",https://meow.elettra.eu/88/pdf/WEP36.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP36,3,,
WEP - Poster Session 2,WEP37,Longitudinal gradient bending magnet(LGBM) permanent magnet for Korea-,,,"GSR ProjectA 4th generation storage ring based light source is being developed in Korea since 2021. It features &LT60 pm rad intrinsic beam emittance, about 800 m circumference, 4 GeV e-beam energy, full energy booster injection, and more than 40 beamlines which includes more than 24 insertion device (ID) beamlines. To optimize the beam emittances, longitudinal gradient bending magnet is applied in the storage ring design. The initial design was using conventional electrical excitation, but the design is changed to use permanent magnet (Sm2Co17) to minimize energy costs. In this report, the physics design and prototyping is described including field integral, field tuning, and temperature compensation scheme.Y. Jung, B. Kim, D. Kim, G. Hahn, I. Chun, W. Lee  Pohang Accelerator Laboratory",https://meow.elettra.eu/88/pdf/WEP37.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP37,4,,
WEP - Poster Session 2,WEP41,Mechanical analysis of quadrupole magnets for the,,,"GeV storage ring of Siam Photon Source IIQuadrupole magnets for the 3 GeV storage ring of Siam Photon Source II (SPS-II) focus and defocus the electron beam according to the lattice design. This work investigates the impact of fabrication errors on the magnetic field of quadrupole magnets. Magnetic field simulations in Opera-3D show that misalignment and assembly errors lead to unwanted multipole components. Mechanical analysis was performed on two quadrupole magnet structures: Type A, with two removable poles for coil insertion, and Type B, with no removable poles and four symmetric pieces. ANSYS Workbench was used for static structural simulation. The material used is AISI 1006 low-carbon steel. Results showed maximum deformation at the magnet poles in both types. Detailed analysis and comparison with prototype measurements will be discussed to validate the magnet design and simulation for future manufacturing for the SPS-II Project.T. Leetha, P. Numanoy, P. Pruekthaisong, P. Sunwong, S. Prawanta, T. Phimsen  Synchrotron Light Research Institute",https://meow.elettra.eu/88/pdf/WEP41.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP41,3,,
WEP - Poster Session 2,WEP42,Mechanical design and development status of a Superconducting Wavelength Shifter for Sirius,,,"A cryogen-free Superconducting Wavelength Shifter (SWLS) designed to generate a peak magnetic field of 6.6 T, operating at 5 K, is currently under development for an upcoming hard X-ray beamline of Sirius, the Brazilian synchrotron fourth-generation light source. This work presents an overview of the mechanical development of several key subsystems of the SWLS. It includes the design and fabrication of the clamps for both lateral and central coils, the development of all thermal components responsible for coupling the cold mass to the cryostat cooling stages, and the construction of the base frame that supports the SWLS cold mass. Additionally, the implementation and testing of Kevlar wires used to suspend the base frame are described. The design of the vacuum chamber through which the beam will pass is also presented, along with the tolerance analysis to ensure the 0.5 mm gap between the coils and the vacuum chamber is maintained. The project also considers the reuse of some parts from a decommissioned Superconducting Wiggler previously operated at the UVX. This article summarizes the ongoing mechanical design and development of the SWLS project.G. Rovigatti de Oliveira  Brazilian Synchrotron Light Laboratory, Brazilian Center for Research in Energy and MaterialsW. Evangelista Ricardo, P. Souza, T. Jasso, G. Pilon, M. Rocha, I. Cavassani, P. Martins  Brazilian Center for Research in Energy and Materials",https://meow.elettra.eu/88/pdf/WEP42.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP42,230,,
WEP - Poster Session 2,WEP45,Mechanical design of the Diamond-II injection striplines,,,"Transparent injection is a key goal of the upgrade of Diamond Light Source to a fourth-generation synchrotron, Diamond-II. This work presents the mechanical design of the Diamond-II K01 straight, which includes three pairs of injection stripline modules, and highlights the following aspects of the design: the general layout (covering the location of the modules, vacuum pumping, and protection from synchrotron radiation); detailed design and assembly of the stripline modules; and lessons learned from the testing of the stripline prototype on the existing machine. The general layout ensures that the modules are optimally positioned to maximize efficiency and minimize interference from synchrotron radiation. The detailed design and assembly process involved rigorous testing and refinement to ensure that each component met the high standards required for operation in a high-energy environment. Lessons learned from the prototype testing provided valuable insights into potential improvements and adjustments needed for the final design, ensuring that the system will perform reliably under operational conditions.V. Zhiltsov, A. Morgan, A. Lueangaramwong, A. Amiri, I. Martin, L. Bobb, M. Cox, N. Warner, R. Fielder, R. Grant, T. Lockwood, W. Tizzano  Diamond Light Source",https://meow.elettra.eu/88/pdf/WEP45.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP45,236,,
